stt,text,label
11,"Sáng nay anh ấy lại bắt đầu làm việc mà không hỏi ý kiến tôi, tự ý thay đổi kế hoạch khiến cả nhóm hoang mang. Tôi đã cố gắng nói chuyện nhưng anh ấy chỉ lắc đầu, thái độ như thể tôi chẳng có quyền gì. Đúng là kiểu người không biết tôn trọng đồng nghiệp.",Anger
12,"Tối nay cả nhà ăn cơm như thường lệ, nhưng mẹ nấu món tôi thích nhất, cá sốt me. Ba thì thỉnh thoảng lại kể chuyện xưa, cười ha hả. Chị gái cũng cười rộn ràng vì thấy tôi ăn ngấu nghiến. Không khí ấm áp quá, lòng tôi cứ nhẹ nhõm, như được trút bỏ cái mệt mỏi suốt tuần.",Enjoyment
13,"Sáng nay tôi đến bệnh viện khám sức khỏe định kỳ như thường lệ. Khi chờ xếp hàng, tôi thấy một người đàn ông lớn tuổi đang cởi áo khoác, để lộ một vết loét trên lưng. Ông ta không che giấu, thậm chí còn cười nói với những người xung quanh. Tôi cảm thấy vô cùng khó chịu, không hiểu sao người ta lại có thể đối xử với cơ thể mình như vậy. Đôi mắt tôi bắt gặp sự thờ ơ của người đó, như thể cái chết đang cận kề cũng chẳng khiến họ lo lắng. Tôi muốn la mắng, muốn nhắc nhở, nhưng không biết nên bắt đầu từ đâu.",Disgust
14,"Ngày hôm nay tôi lại một lần nữa bị boss khen vì... cái gì? À, là vì tôi đã làm xong báo cáo mà không cần phải nhờ ai. Nhưng mà thật ra là tôi copy từ mạng, sửa vài chữ rồi dán vào. Khi boss hỏi thì tôi nói là ""đã tự viết"", không ngờ boss lại tin. Bây giờ tôi đang cố gắng không để lộ ra rằng mình từng ""tự viết"" một cách đầy sáng tạo. Đúng là công việc thực tập cũng có lúc khiến tôi muốn bỏ cuộc, nhưng vẫn phải giả vờ đi tiếp.",Surprise
15,"Tôi vừa trở về nhà sau một ngày làm việc, chỉ để thấy rằng người hàng xóm đã đổ rác thải ra vỉa hè mà không bao giờ vứt vào thùng rác. Tôi nhìn xung quanh và thấy rằng rác thải đã phủ đầy vỉa hè, tạo nên một cảnh tượng khó coi. Tôi không thể tin được mà họ lại làm vậy. Có lẽ họ không biết rằng việc vứt rác vào vỉa hè là một hành động vô đạo đức, không chỉ gây ô nhiễm môi trường mà còn làm mất đi vẻ đẹp của khu phố. Tôi đã cố gắng giữ bình tĩnh, nhưng lòng tôi không thể chấp nhận được điều này. Tôi đã quyết định viết một lá thư để yêu cầu họ vệ sinh khu vực và không lặp lại hành động này nữa.",Disgust
16,"Ngày hôm nay, tôi không biết vì sao lại cảm thấy lo lắng đến lạ. Anh Hùng nhắn tin hỏi tôi có phải đang gặp khó khăn gì không, giọng anh nhẹ nhàng nhưng tôi nghe ra sự quan tâm quá mức. Tôi cố giấu, nhưng lòng vẫn day dứt. Có lẽ tôi đang dần xa cách những người thân, mà tôi không nhận ra.",Fear
17,"Chiều hôm qua, tôi đang ngồi yên bên cửa sổ, ngắm những giọt mưa rơi từng trận như đồng lòng, thì bỗng thấy một tia nắng lọt qua khe cửa, rực rỡ giữa màn mưa. Tôi ngẩn người, không kịp che mắt, cứ lặng lẽ ngước lên, như bị đánh lừa bởi sự bất ngờ của thiên nhiên.",Enjoyment
18,"Tôi đang ngồi trong phòng, nhìn vào tài khoản ngân hàng của mình trên máy tính. Con số đó cứ như một đòn đánh vào tôi, làm tôi cảm thấy như đang đứng dưới sông, không biết khi nào sẽ bị cuốn trôi. Chi phí sinh hoạt tăng cao, thu nhập không theo kịp, tôi đang cố gắng cân bằng giữa chi tiêu và tiết kiệm. Nhưng bây giờ, với con số đỏ trước mắt, tôi không thể tin được mình đã làm gì sai. Tôi vừa nhận được thông báo từ phía ngân hàng về việc dư nợ tiền vay của tôi đã vượt quá giới hạn cho phép. Tôi nhớ rằng tôi đã vay tiền để mua một chiếc ô tô mới, nhưng bây giờ nó giống như một món nợ khổng lồ không thể trả nổi. Tôi cảm thấy như đang đứng trên rạn đá, không biết khi nào sẽ bị trượt khỏi vị trí an toàn. Tôi phải tìm cách để trả nợ, nhưng không biết bắt đầu từ đâu. Tôi cảm thấy sức ép, bất an và không thể yên tâm trong bất kỳ giây phút nào.",Fear
19,"Chiều nay mẹ bảo mình phải kiểm tra lại sổ tiền điện thoại vì tháng trước bị trừ 50k mà không biết lý do. Mình lật tung cái ví, đếm từng đồng, rồi phát hiện ra mình đã dùng thử app mới mà không biết, nó tự mua 2 cái sticker giá 25k. Mình cố nhớ xem lúc nào thì bị trừ, nhưng đầu óc toàn nghĩ đến việc tối nay phải đi chơi với bạn. Mình không buồn cũng không vui, chỉ thấy hơi bất ngờ và hơi ngại. Mình quyết định sẽ nói với mẹ vào tối nay, dù không muốn.",Surprise
20,"Hôm nay, tôi nhận được thông báo từ ngân hàng về việc thu phí bảo hiểm tài chính của chúng tôi. Tôi đã quên đăng ký chương trình này và phải trả một khoản phí phạt. Tôi đã cân nhắc và quyết định thanh toán số tiền đó ngay lập tức để tránh các khoản phí lãi suất phát sinh sau này. Tôi đã chuyển tiền vào tài khoản ngân hàng và hoàn thành thủ tục. Bây giờ, mọi thứ đều ổn và tôi có thể yên tâm. Tôi sẽ nhớ kiểm tra thông tin về phí bảo hiểm tài chính của mình thường xuyên hơn.",Other
21,"Tôi vừa nhận được tin tức rằng nhà máy xử lý chất thải gần nhà tôi sắp bị đóng cửa vì không đáp ứng được tiêu chuẩn an toàn. Tôi lo lắng về việc nước thải độc hại sẽ chảy ra sông ngay cạnh nhà chúng tôi. Nếu tình trạng này tiếp diễn, có thể ảnh hưởng đến sức khỏe của cả gia đình tôi và những người sống xung quanh.",Fear
22,"Hôm nay, tôi vừa nhận được thông báo từ công ty về việc tăng lương nhưng lại giảm mức hỗ trợ chi phí. Tôi đã phải tính toán kỹ lưỡng trước khi quyết định làm thế nào để cân đối chi tiêu trong tháng này. Nhưng khi nhìn vào tài khoản ngân hàng, tôi chỉ thấy số tiền ngày càng ít dần. Tôi cảm thấy khó khăn khi phải cắt giảm những thứ nhỏ nhặt nhưng mang lại niềm vui cho cuộc sống, như đi xem phim hoặc uống cà phê với bạn bè. Tôi biết rằng cuộc sống không phải lúc nào cũng dễ dàng, nhưng đôi khi tôi chỉ muốn có một chút thoải mái trong cuộc sống mà thôi.",Sadness
23,"Ngày nay mình thật sự muốn đánh nhau. Bọn họ cứ làm như mình không có mặt ở đây, không thèm hỏi han, không thèm hỗ trợ. Mình cố gắng hết sức nhưng họ chỉ biết cười cợt, coi mình như không. Mình đã đủ kiên nhẫn rồi, sao họ không hiểu mình đang cố gắng? Mình không muốn nữa, cứ để họ tiếp tục làm việc như mọi khi đi.",Anger
24,"Sáng nay đi làm muộn vì tắc đường, đến văn phòng thấy đồng nghiệp đã vào làm rồi. Tôi nhẹ nhàng hỏi xin mật khẩu máy tính, rồi bắt đầu làm việc như thường.",Other
25,"Tôi đang ngồi tại phòng học, tay cầm bút, mắt nhìn vào đề thi đại học. Mình vừa nhận được giấy tham gia thi vào trường đại học yêu thích, nhưng cảm giác bất an vẫn không chịu giảm đi. Cứ tưởng tượng mình thất bại, phải về nhà, bố mẹ lo lắng, anh chị em thân yêu cũng không khỏi trách móc. Thế là mình trở thành con nợ, suốt ngày không dám gặp mặt bạn bè, để tránh những câu hỏi khó xử. Mình sẽ phải đi xin việc, nhưng làm gì có khả năng được tuyển dụng? Chưa kể đến việc bị ép xin giảm lương, làm việc không đúng chuyên môn. Bây giờ mình mới bắt đầu sinh viên, mà đã phải nghĩ về những điều này. Cảm giác buồn rầu, chỉ biết ngẩng cao đầu, cố gắng ôm đồm lấy mọi thứ, rồi cố gắng vượt qua những thử thách.",Fear
26,"Mình vừa bị ngất tại trường, tưởng mình bị sa sút sức khỏe mà không hay biết. Mắt hoa cả lên, đầu óc trống rỗng, chỉ kịp nghĩ mình có phải bị say nắng không.",Sadness
27,"Hôm nay em thấy rùng rợn quá trời. Mình và Huy đi chơi như thường lệ, nhưng Huy cứ nhìn em kiểu như có gì đó giấu. Rồi tối qua em nhắn tin hỏi chuyện, Huy im lặng ko trả lời. Em nghĩ chắc do mình nói chuyện gì đó hơi nặng nề. Nhưng hôm nay em thấy Huy nhắn tin cho bạn khác, ánh mắt lạnh tanh. Em tưởng mình hiểu nhầm, nhưng sao cứ thấy tim đập thình thịch. Có lẽ mình nên giữ khoảng cách, dù hơi ngại. Nhưng mà sao lại sợ đến thế?",Fear
28,"Tôi vừa đi siêu thị và gặp một vấn đề thật là không ổn. Tôi đã chờ đợi để checkout nhưng nhân viên quét hàng đã quên lấy sản phẩm của tôi trong giỏ, vậy mà khi tôi nhắc anh ta thì anh ta còn bảo tôi nhầm lẫn. Tôi thật là bực tức khi thấy anh ta không hề xin lỗi, chỉ biết nói tôi nên kiểm tra lại. Tôi không thể tin được có thể xảy ra chuyện như thế nào đó.",Anger
29,Tôi đang chờ đợi kết quả xét nghiệm sức khỏe của con tôi. Ông bác sĩ vừa đưa ra kết quả ban đầu và nói rằng chúng tôi cần phải chờ đợi kết quả cuối cùng sau khi xét nghiệm lại. Tôi cảm thấy không an tâm vì con tôi đã bị ốm nhiều lần gần đây và tôi sợ rằng có thể có vấn đề nghiêm trọng hơn. Tôi đang cố gắng giữ bình tĩnh nhưng không thể giúp bản thân khỏi những suy nghĩ xấu về tương lai. Tôi chỉ mong muốn con tôi được khỏe mạnh trở lại càng sớm càng tốt.,Fear
30,"Chiều nay đăng ảnh con mèo nhảy đầm lên cái ghế cao, ai cũng cười ngất, cả mẹ chồng còn khen ""cháu thông minh quá"", tôi thì thầm: ""Con mèo thông minh, chứ cháu thì toàn đăng ảnh nhầm hình nền.",Enjoyment
31,"Hôm nay đi học về thấy tớ đợi mình ở cổng, cười hi hi, nói ""đi ăn gì không?"" Mình vui quá, chạy theo mà chân run.",Enjoyment
32,"Chiều nay thấy cái tin nhắn cuối cùng của anh ấy bị xóa, lòng nặng trĩu. Mình đã cố gắng giữ lại những khoảnh khắc xưa, nhưng giờ tất cả chỉ còn là bóng ma. Mỗi lần lướt qua trang cũ, tim lại đớn đau. Có lẽ, những điều ta từng tin tưởng cũng có ngày tan theo thời gian.",Sadness
33,"Sáng nay, tôi phát hiện ra một người hàng xóm đã vô tình vứt rác thải y tế xuống thùng rác chung, bên cạnh những túi nilon đựng thức ăn. Tôi rất giận vì hành động đó không chỉ thiếu ý thức mà còn có thể gây nguy hiểm cho sức khỏe cộng đồng. Tôi đã nhẹ nhàng nhắc nhở họ, nhưng họ tỏ ra vô cảm và bất kính. Tôi thật sự không hiểu tại sao người ta lại không quan tâm đến sự an toàn của người khác như thế.",Anger
34,"Tôi đang nằm trên giường, tay tôi nắm chặt điện thoại trong lòng. Tối qua, tôi đã vô tình chia sẻ một tin nhắn cá nhân với cả nhóm bạn bè trên Facebook. Mình chỉ muốn hỏi ý kiến một người bạn về một vấn đề nhỏ, nhưng rồi mình đã nhấn nhầm nút chia sẻ. Giờ thì tin nhắn đó đã được mọi người thấy và bình luận. Mình cảm thấy như đang bị đặt lên bàn cân, phải chịu sự giám sát và đánh giá của tất cả mọi người. Tôi biết mình không thể xoá tin nhắn đó, và giờ thì mọi người đã bắt đầu để ý đến chuyện này. Tôi không thể tưởng tượng nổi những câu bình luận sẽ thế nào, và mình chỉ mong chờ được mọi người không để ý tới chuyện này. Thật khó chịu khi mình phải đối mặt với những điều không thể lường trước.",Fear
35,"Ngày hôm nay thật sự là một ngày buồn. Tôi ngồi trong phòng làm việc, nhìn đồng hồ đếm ngược đến giờ nghỉ, mà lòng chẳng còn chút hứng thú. Dự án cuối cùng cũng bị hủy bỏ vì thiếu nhân sự, và tôi được thông báo sẽ không được tiếp tục thực tập. Cả tuần qua, tôi đã cố gắng hết sức, nhưng dường như mọi thứ vẫn không đủ. Tôi mỉm cười gật đầu, nhưng trong lòng đầy lo lắng và bất lực. Không có ai để hỏi, không có ai để trao đổi, chỉ còn lại những email không được hồi đáp và những dự án chưa hoàn thành. Tôi cảm thấy như đang lạc lối giữa một nơi quá xa lạ, không biết mình nên hướng về đâu.",Sadness
36,"Tôi đang nằm trên giường, nhìn ra ngoài cửa sổ thấy những giọt mưa nhỏ rơi xuống. Mùa hè đã đến, nhưng không khí lại lạnh lắm. Tôi nhớ ngày cuối tuần rảnh rang, có thể ra ngoài chơi với bạn bè, đi biển hoặc tham gia các hoạt động ngoài trời. Bây giờ thì sao? Tôi chỉ muốn nằm im và xem phim trên TV, không muốn làm gì khác cả. Tôi thầm tự trách mình vì không thể tổ chức được những hoạt động mà mình mong muốn. Mưa không ngừng rơi, như thể nó đang nói chuyện với tôi về thất vọng của mình.",Sadness
37,"Mấy hôm trước mình mua cái máy lọc nước tầm 5 triệu, tưởng là đồ tốt, đắt tiền thì chất lượng cũng phải đảm bảo. Nhưng hôm nay mình phát hiện ra nó bị rò rỉ nước, rồi kiểm tra lại mới biết nó đã qua sử dụng, bị đổi mã, không phải hàng mới. Mình tức quá, không hiểu sao shop không kiểm tra kỹ trước khi bán. Mình muốn điếu, muốn đòi lại tiền, nhưng lại ngại vì sợ mất công. Cái cảm giác bị lừa mà không biết làm sao, thật là khó chịu. Mình đang tính sẽ điếu luôn cái máy đó, chứ không bao giờ dùng nữa.",Anger
38,"Tôi vừa thức dậy từ giấc mơ mà trong đó tôi đã đạt điểm cao trong kỳ thi đại học. Tôi còn nhớ rõ hình ảnh mình bước lên sân khấu nhận diploma, nhưng rồi tôi lại tỉnh dậy và phát hiện ra mình vẫn đang nằm trong phòng, chưa từng bước vào trường thi. Tôi không hiểu tại sao não tôi lại có thể nghĩ ra được một thứ như vậy. Tôi phải là ai? Một người giấc mơ phi thường?",Other
39,"Tôi vẫn còn nhớ rõ ràng khi tôi vừa nhận được tin nhắn từ nhà trường hôm nay. Tôi vừa bước vào lớp sau giờ học, vừa muốn ngồi xuống và bắt đầu làm bài tập khi cô giáo của chúng tôi bước vào và nói rằng đã có một người nộp đơn xin tham gia chương trình trao đổi sinh viên của trường trong kỳ nghỉ sắp tới. Tôi không thể tin được rằng tôi đã được chọn, rằng tôi sắp được đi du học tại nước ngoài, nơi mà tôi luôn mơ ước được đến. Tôi nhớ lại những đêm dài nằm trên giường, nhìn lên tấm ảnh trên tường của trường đại học Mỹ, và nghĩ rằng sẽ chẳng bao giờ có cơ hội để đến đó. Nhưng rồi, có lẽ do số phận có tình yêu thương nên mọi thứ đã thay đổi. Tôi vẫn còn hơi khó tin và không thể nói được gì khác ngoài sự bất ngờ và ngạc nhiên khi nghĩ về tất cả những gì sắp xảy ra. Tôi sẽ phải chuẩn bị rất nhiều thứ trong thời gian tới, nhưng ở đây, tôi chỉ muốn tận hưởng khoảnh khắc này và suy ngẫm về sự bất ngờ của cuộc sống. Tôi đã đặt câu hỏi cho chính mình về tương lai của mình trong rất nhiều lần, và cuối cùng thì đã có câu trả lời. Tôi cảm thấy mình đã sẵn sàng để đối mặt với những thách thức và thử thách mới.",Surprise
40,"Hôm nay tôi đã có một buổi học tại trường đại học. Tôi đến lớp sớm, khoảng 15 phút trước giờ học bắt đầu. Khi đó, tôi thấy giáo sư đang chuẩn bị bài giảng trên bàn giảng của mình. Tôi ngồi vào chỗ và bắt đầu xem xét tài liệu học tập mà mình cần chuẩn bị. Giáo sư bắt đầu giảng bài sau khi giờ học bắt đầu và tôi chú ý lắng nghe để ghi lại những điểm quan trọng. Tôi cũng đã thực hiện một số bài tập mà giáo sư yêu cầu và cảm thấy mình hiểu rõ hơn về nội dung được giảng dạy. Sau buổi học, tôi rời khỏi lớp và tiếp tục chuẩn bị cho kỳ thi sắp tới.",Other
41,"Sáng nay, tôi đến văn phòng đúng giờ như mọi khi, nhưng không ngờ sẽ gặp phải một sự việc khiến tôi vô cùng khó chịu. Một đồng nghiệp mới được tuyển dụng, thay vì làm việc nghiêm túc, lại cố tình gán trách nhiệm cho tôi, rồi khi tôi góp ý, anh ta còn mỉa mai, nói rằng tôi ""thiếu kinh nghiệm"". Tôi đã giữ bình tĩnh, nhưng trong lòng tôi rất bức tức. Tôi không muốn làm việc với ai mà không có thái độ tôn trọng. Tôi sẽ không để chuyện này tiếp diễn, dù có phải đối mặt với nhiều khó khăn hơn.",Disgust
42,"Chiều hôm qua, em nộp bài thi xong, lòng nặng trĩu vì không đạt điểm như mong đợi. Những con số tưởng chừng nhỏ bé lại khiến em cảm thấy mình thật vô dụng.",Sadness
43,"Ngày hôm nay tôi ngồi thiền để chuẩn bị cho kỳ thi đại học, nhưng không hiểu sao tim đập thình thịch như đang chạy marathon. Bỗng dưng tôi nhớ lại lúc năm lớp mười, cũng từng sợ hãi đến độ mồ hôi trộm chạy ra áo. Giờ thì đã lớn rồi mà vẫn cứ run tay cầm bút, chắc là định mệnh không thay đổi được.",Fear
44,"Chiều nay gặp anh ấy ở quán cà phê quen, vẫn như cũ, nói chuyện nhẹ nhàng, không vội vã, nhưng tôi cảm thấy mình đang nghe một thứ gì đó rất xa lạ. Anh ấy kể về cuộc sống mới, những mối quan hệ mới, nhưng giọng anh ấy quá bình thường, như thể tất cả những điều anh ấy đã trải qua đều không đáng để nhắc đến. Tôi nhìn vào ly cà phê đang nguội dần, lòng chẳng còn muốn động chạm đến nó nữa. Có lẽ tôi cần rời xa những người không biết trân trọng điều giản dị nhất.",Sadness
45,"Chiều nay, em nhắn tin hỏi anh ấy có rảnh không, rồi hẹn gặp để trao đổi vài việc quan trọng. Anh ấy không trả lời, chỉ im lặng suốt cả buổi. Em cố gắng gọi lại, nhưng anh ấy cứ lảng sang chuyện khác, như thể không quan tâm. Càng nghĩ càng thấy khó hiểu, sao anh ấy lại đối xử lạnh nhạt thế? Có lẽ em đã hiểu sai điều gì đó...",Other
46,"Buổi sáng hôm nay, tôi đi chợ với mẹ. Trên đường về, mẹ dừng lại mua vài quả bưởi. Tôi không hiểu vì sao mẹ chọn những trái to, da ngoài có đốm đen. Mẹ bảo đó là bưởi ngon, ngọt hơn. Tôi im lặng nhìn những trái bưởi ấy, không nói gì.",Other
47,"Hôm nay, tôi đã nhận được một yêu cầu từ công ty về việc tham gia một cuộc họp trực tuyến để thảo luận về dự án mới. Tôi đã nhận được thông báo qua email vào sáng sớm và phải nhanh chóng lên lịch trình để sắp xếp thời gian tham gia cuộc họp.

Tôi đã kiểm tra lại hệ thống của công ty và thấy rằng đã có một cuộc họp trực tuyến đã được tổ chức vào ngày hôm qua mà tôi đã bỏ lỡ. Tôi đã cảm thấy một chút lo lắng khi nghĩ về việc tôi đã không nhận được thông báo kịp thời và không thể tham gia vào cuộc họp quan trọng đó.

Tuy nhiên, tôi đã nhanh chóng quên đi lo lắng đó khi nhận ra rằng cuộc họp mới sẽ được tổ chức vào chiều nay và tôi vẫn có thể tham gia. Tôi đã lập lại kế hoạch và sắp xếp lại lịch trình của mình để có thể tham gia vào cuộc họp một cách đầy đủ.

Tôi đã nhận được danh sách người tham gia cuộc họp và thấy rằng đã có nhiều người quan trọng sẽ tham gia vào cuộc họp. Tôi đã bắt đầu chuẩn bị trước cho cuộc họp, xem xét lại tài liệu và nghiên cứu về dự án để có thể tham gia vào cuộc thảo luận một cách hiệu quả.",Other
48,"Mấy bữa nay tôi ăn chẳng ngon, ngủ chẳng yên vì cái thói quen kinh tởm của ba. Mỗi tối, hắn lại mở toang cửa nhà vệ sinh, để mùi hôi thối lan ra cả phòng khách. Tôi cố nhắm mắt lại, nhưng không được, vì mùi đó dính chặt vào mũi, như thể nó đã bám vào da thịt tôi. Cái mùi ấy không phải từ rác hay nước tiểu, mà là từ cái gì đó rất... riêng tư và không nên có. Tôi cố gắng không thở, nhưng tim đập thình thịch, hồn chẳng yên. Cái sự vô ý thức của ba khiến tôi muốn nôn, nhưng lại không dám làm rõ. Có lẽ tôi cần nói chuyện với hắn, nhưng chưa biết bắt đầu từ đâu.",Disgust
49,"Ngày hôm nay mình phát hiện ra một bạn trong lớp dám ăn bánh mì rán trong phòng học, còn thản nhiên nói ""thử thử xem có ngon không"". Mình muốn nôn nhưng cố nhịn, chỉ biết thở dài mà nghĩ: ai dạy cái thói quen ấy ra?",Disgust
50,"Ngày hôm nay thật là tuyệt vời! Tôi vừa nhận được tin từ bạn gái tôi rằng cô ấy đã được công ty thông báo là thăng hạng lên vị trí quản lý sau 6 tháng làm việc tại đó. Tôi biết cô ấy rất cố gắng và nỗ lực nên không ngạc nhiên khi thấy điều này xảy ra.

Tôi nhớ lại những lần chúng ta cùng nhau ôm đồm dự định tương lai của mình, hy vọng được thăng chức trong thời gian sớm nhất có thể. Và giờ, ước mơ của chúng ta đang trở thành hiện thực. Tôi không thể không tự hào về cô ấy và tất cả những gì cô ấy đã đạt được.

Tôi cũng nhớ lại những lúc tôi phải hỗ trợ cô ấy trong công việc, dù đôi khi chỉ là việc giúp cô ấy tìm kiếm thông tin hoặc làm những việc nhỏ mà cô ấy không muốn làm. Bây giờ, khi nhìn lại những khoảnh khắc đó, tôi thấy nó thật là một phần của quá trình giúp cô ấy đạt được thành công này.

Tôi biết chắc chắn rằng cô ấy sẽ tiếp tục phát triển và thành công trong tương lai. Và tôi cũng biết chắc chắn rằng tôi sẽ luôn ở bên cạnh cô ấy để ủng hộ và yêu thương cô ấy.",Other
51,"Tôi vừa thấy tin tức khiến tôi sốt người! Mới được một ngày trước khi tôi đăng ảnh mới lên Instagram thì đã có hàng chục lượt thích và bình luận. Nhưng hôm nay, sau khi tôi đăng một ảnh cũ, tôi nhận được hơn 200 lượt thích và hơn 100 bình luận. Tôi thật ngạc nhiên vì tại sao ảnh cũ lại được mọi người quan tâm đến vậy. Có ai đó hỏi tôi về ý tưởng chụp ảnh đó, người khác nói ảnh đẹp quá. Tôi cũng thấy một vài bạn đồng hành cho biết họ vẫn còn nhớ ảnh này. Tôi thật sự bối rối vì tại sao mọi người lại nhớ đến ảnh đó sau nhiều năm. Tôi chỉ hy vọng những bình luận này sẽ giúp tôi nhận được nhiều lượt theo dõi hơn.",Surprise
