id,split
llama-Sadness-0114,train
llama-Sadness-0115,train
llama-Sadness-0116,validation
llama-Sadness-0118,train
llama-Sadness-0119,train
llama-Sadness-0120,test
llama-Sadness-0121,validation
llama-Sadness-0122,train
llama-Sadness-0123,test
llama-Sadness-0124,train
llama-Sadness-0125,validation
llama-Sadness-0126,train
llama-Sadness-0127,test
llama-Sadness-0128,train
llama-Sadness-0129,validation
llama-Sadness-0130,validation
llama-Sadness-0131,train
llama-Sadness-0132,test
llama-Sadness-0133,train
llama-Sadness-0134,train
llama-Sadness-0135,train
llama-Sadness-0136,train
llama-Sadness-0137,train
llama-Sadness-0138,train
llama-Sadness-0139,train
llama-Sadness-0140,validation
llama-Sadness-0141,train
llama-Sadness-0142,train
llama-Sadness-0143,validation
llama-Sadness-0144,train
llama-Sadness-0145,train
llama-Sadness-0146,train
llama-Sadness-0147,validation
llama-Sadness-0148,test
llama-Sadness-0149,train
llama-Sadness-0150,validation
llama-Sadness-0151,train
llama-Sadness-0152,train
llama-Sadness-0154,train
llama-Sadness-0155,validation
llama-Sadness-0156,train
llama-Sadness-0157,train
llama-Sadness-0158,test
llama-Sadness-0159,test
llama-Sadness-0160,train
llama-Sadness-0161,train
llama-Sadness-0162,test
llama-Sadness-0163,validation
llama-Sadness-0164,train
llama-Sadness-0165,train
llama-Sadness-0166,train
llama-Sadness-0167,train
llama-Sadness-0168,train
llama-Sadness-0169,train
llama-Sadness-0170,train
llama-Sadness-0172,train
llama-Sadness-0173,test
llama-Sadness-0174,train
llama-Sadness-0175,train
llama-Sadness-0176,train
llama-Sadness-0177,test
llama-Sadness-0178,train
llama-Sadness-0179,train
llama-Sadness-0180,train
llama-Sadness-0181,test
llama-Sadness-0182,train
llama-Sadness-0183,test
llama-Sadness-0184,train
llama-Sadness-0185,validation
llama-Sadness-0186,train
llama-Sadness-0187,train
llama-Sadness-0188,train
llama-Sadness-0189,train
llama-Sadness-0190,test
llama-Sadness-0191,train
llama-Sadness-0192,train
llama-Sadness-0193,train
llama-Sadness-0194,train
llama-Sadness-0195,train
llama-Sadness-0196,train
llama-Sadness-0197,test
llama-Sadness-0198,train
llama-Sadness-0199,validation
llama-Anger-0001,validation
llama-Anger-0002,train
llama-Anger-0003,validation
llama-Anger-0004,train
llama-Anger-0005,validation
llama-Anger-0006,train
llama-Anger-0007,validation
llama-Anger-0008,validation
llama-Anger-0009,train
llama-Anger-0010,train
llama-Anger-0011,train
llama-Anger-0012,test
llama-Anger-0013,train
llama-Anger-0014,validation
llama-Anger-0015,train
llama-Anger-0016,train
llama-Anger-0017,train
llama-Anger-0018,train
llama-Anger-0019,train
llama-Anger-0020,train
llama-Anger-0021,test
llama-Anger-0022,test
llama-Anger-0023,train
llama-Anger-0024,train
llama-Anger-0025,train
llama-Anger-0026,validation
llama-Anger-0027,train
llama-Anger-0028,validation
llama-Anger-0029,train
llama-Anger-0030,train
llama-Anger-0031,train
llama-Anger-0032,train
llama-Anger-0033,train
llama-Anger-0034,test
llama-Anger-0038,train
llama-Anger-0039,validation
llama-Anger-0040,train
llama-Anger-0041,train
llama-Anger-0042,train
llama-Anger-0043,train
llama-Anger-0044,train
llama-Anger-0045,train
llama-Anger-0046,train
llama-Anger-0047,train
llama-Anger-0048,test
llama-Anger-0049,test
llama-Anger-0050,validation
llama-Anger-0051,test
llama-Anger-0052,train
llama-Anger-0053,train
llama-Anger-0054,test
llama-Anger-0055,train
llama-Anger-0056,train
llama-Anger-0057,train
llama-Anger-0058,train
llama-Anger-0059,test
llama-Anger-0060,train
llama-Anger-0061,train
llama-Anger-0062,train
llama-Anger-0063,train
llama-Anger-0065,validation
llama-Anger-0066,train
llama-Anger-0068,validation
llama-Anger-0069,train
llama-Anger-0070,train
llama-Anger-0072,train
llama-Anger-0074,train
llama-Anger-0075,train
llama-Anger-0076,train
llama-Anger-0077,test
llama-Anger-0078,train
llama-Anger-0079,train
llama-Anger-0081,validation
llama-Anger-0083,train
llama-Anger-0085,train
llama-Anger-0086,train
llama-Anger-0087,train
llama-Anger-0088,validation
llama-Anger-0089,train
llama-Anger-0090,train
llama-Anger-0091,test
llama-Anger-0092,train
llama-Anger-0093,train
llama-Anger-0094,train
llama-Anger-0096,train
llama-Anger-0097,train
llama-Anger-0098,train
llama-Anger-0099,train
llama-Anger-0101,train
llama-Anger-0102,test
llama-Anger-0103,train
llama-Anger-0104,test
llama-Anger-0105,test
llama-Anger-0106,test
llama-Anger-0107,train
llama-Anger-0108,train
llama-Anger-0109,train
llama-Anger-0110,train
llama-Anger-0111,test
llama-Anger-0112,train
llama-Anger-0113,train
llama-Anger-0114,train
llama-Anger-0115,train
llama-Anger-0117,train
llama-Anger-0118,train
llama-Anger-0119,train
llama-Anger-0120,test
llama-Anger-0121,train
llama-Anger-0123,validation
llama-Anger-0124,train
llama-Anger-0125,validation
llama-Anger-0126,train
llama-Anger-0128,validation
llama-Anger-0129,train
llama-Anger-0130,validation
llama-Anger-0131,train
llama-Anger-0132,train
llama-Anger-0133,train
llama-Anger-0134,train
llama-Anger-0135,train
llama-Anger-0136,test
llama-Anger-0137,validation
llama-Anger-0138,train
llama-Anger-0139,train
llama-Anger-0140,train
llama-Anger-0141,train
llama-Anger-0143,validation
llama-Anger-0144,train
llama-Anger-0145,train
llama-Anger-0146,test
llama-Anger-0147,train
llama-Anger-0148,train
llama-Anger-0149,validation
llama-Anger-0150,train
llama-Anger-0151,validation
llama-Anger-0152,validation
llama-Anger-0153,train
llama-Anger-0154,train
llama-Anger-0155,train
llama-Anger-0156,train
llama-Anger-0157,train
llama-Anger-0158,train
llama-Anger-0159,train
llama-Anger-0160,train
llama-Anger-0161,train
llama-Anger-0162,train
llama-Anger-0163,validation
llama-Anger-0164,train
llama-Anger-0165,validation
llama-Anger-0166,train
llama-Anger-0167,test
llama-Anger-0168,train
llama-Anger-0169,test
llama-Anger-0170,test
llama-Anger-0171,test
llama-Anger-0172,train
llama-Anger-0173,train
llama-Anger-0174,test
llama-Anger-0175,train
llama-Anger-0176,validation
llama-Anger-0179,train
llama-Anger-0180,train
llama-Anger-0181,train
llama-Anger-0182,test
llama-Anger-0183,train
llama-Anger-0184,train
llama-Anger-0185,train
llama-Anger-0186,test
llama-Anger-0187,train
llama-Anger-0188,train
llama-Anger-0189,train
llama-Anger-0191,train
llama-Anger-0192,train
llama-Anger-0193,train
llama-Anger-0195,test
llama-Anger-0196,train
llama-Anger-0198,train
llama-Fear-0000,test
llama-Fear-0001,train
llama-Fear-0002,train
llama-Fear-0003,train
llama-Fear-0004,train
llama-Fear-0005,train
llama-Fear-0006,train
llama-Fear-0007,validation
llama-Fear-0008,train
llama-Fear-0009,validation
llama-Fear-0010,train
llama-Fear-0011,train
llama-Fear-0012,train
llama-Fear-0013,train
llama-Fear-0014,train
llama-Fear-0015,train
llama-Fear-0016,validation
llama-Fear-0017,validation
llama-Fear-0018,test
llama-Fear-0019,train
llama-Fear-0020,train
llama-Fear-0021,train
llama-Fear-0022,train
llama-Fear-0024,train
llama-Fear-0025,test
llama-Fear-0026,train
llama-Fear-0027,train
llama-Fear-0028,train
llama-Fear-0029,validation
llama-Fear-0030,test
llama-Fear-0031,train
llama-Fear-0032,validation
llama-Fear-0033,train
llama-Fear-0034,validation
llama-Fear-0035,train
llama-Fear-0036,train
llama-Fear-0037,train
llama-Fear-0039,train
llama-Fear-0040,train
llama-Fear-0041,train
llama-Fear-0042,train
llama-Fear-0043,train
llama-Fear-0044,train
llama-Fear-0046,train
llama-Fear-0047,train
llama-Fear-0049,train
llama-Fear-0050,train
llama-Fear-0051,train
llama-Fear-0052,train
llama-Fear-0053,test
llama-Fear-0054,train
llama-Fear-0055,train
llama-Fear-0056,train
llama-Fear-0057,train
llama-Fear-0058,train
llama-Fear-0059,validation
llama-Fear-0060,train
llama-Fear-0062,train
llama-Fear-0063,train
llama-Fear-0065,train
llama-Fear-0066,train
llama-Fear-0067,train
llama-Fear-0068,validation
llama-Fear-0069,test
llama-Fear-0070,train
llama-Fear-0071,train
llama-Fear-0072,train
llama-Fear-0073,train
llama-Fear-0074,train
llama-Fear-0075,train
llama-Fear-0076,train
llama-Fear-0077,test
llama-Fear-0078,train
llama-Fear-0079,train
llama-Fear-0080,train
llama-Fear-0081,train
llama-Fear-0082,train
llama-Fear-0083,train
llama-Fear-0084,validation
llama-Fear-0085,train
llama-Fear-0086,train
llama-Fear-0087,test
llama-Fear-0090,train
llama-Fear-0093,train
llama-Fear-0095,validation
llama-Fear-0096,train
llama-Fear-0097,validation
llama-Fear-0098,train
llama-Fear-0099,test
llama-Fear-0100,train
llama-Fear-0101,train
llama-Fear-0102,test
llama-Fear-0103,train
llama-Fear-0105,train
llama-Fear-0106,train
llama-Fear-0107,train
llama-Fear-0108,train
llama-Fear-0109,train
llama-Fear-0110,train
llama-Fear-0111,train
llama-Fear-0112,train
llama-Fear-0113,train
llama-Fear-0114,train
llama-Fear-0115,test
llama-Fear-0116,validation
llama-Fear-0117,test
llama-Fear-0118,train
llama-Fear-0119,train
llama-Fear-0120,test
llama-Fear-0121,train
llama-Fear-0122,test
llama-Fear-0123,train
llama-Fear-0124,train
llama-Fear-0125,validation
llama-Fear-0126,validation
llama-Fear-0127,test
llama-Fear-0128,train
llama-Fear-0129,train
llama-Fear-0130,test
llama-Fear-0131,train
llama-Fear-0132,train
llama-Fear-0134,train
llama-Fear-0135,train
llama-Fear-0136,train
llama-Fear-0137,validation
llama-Fear-0138,train
llama-Fear-0139,train
llama-Fear-0140,train
llama-Fear-0141,train
llama-Fear-0142,train
llama-Fear-0143,test
llama-Fear-0144,validation
llama-Fear-0145,train
llama-Fear-0146,test
llama-Fear-0147,validation
llama-Fear-0148,train
llama-Fear-0149,train
llama-Fear-0150,train
llama-Fear-0151,train
llama-Fear-0152,train
llama-Fear-0153,train
llama-Fear-0154,train
llama-Fear-0155,train
llama-Fear-0156,validation
llama-Fear-0157,train
llama-Fear-0158,train
llama-Fear-0159,validation
llama-Fear-0160,train
llama-Fear-0161,train
llama-Fear-0162,train
llama-Fear-0163,validation
llama-Fear-0164,train
llama-Fear-0165,test
llama-Fear-0166,train
llama-Fear-0167,validation
llama-Fear-0168,train
llama-Fear-0169,validation
llama-Fear-0170,train
llama-Fear-0171,test
llama-Fear-0172,train
llama-Fear-0173,test
llama-Fear-0174,train
llama-Fear-0175,train
llama-Fear-0176,validation
llama-Fear-0177,test
llama-Fear-0178,train
llama-Fear-0181,train
llama-Fear-0182,test
llama-Fear-0183,test
llama-Fear-0184,test
llama-Fear-0185,test
llama-Fear-0186,validation
llama-Fear-0187,validation
llama-Fear-0188,validation
llama-Fear-0189,train
llama-Fear-0190,train
llama-Fear-0191,train
llama-Fear-0192,train
llama-Fear-0193,train
llama-Fear-0195,test
llama-Fear-0196,train
llama-Fear-0197,train
llama-Fear-0198,train
llama-Fear-0199,train
llama-Surprise-0000,validation
llama-Surprise-0001,test
llama-Surprise-0002,train
llama-Surprise-0003,train
llama-Surprise-0004,test
llama-Surprise-0007,train
llama-Surprise-0008,train
llama-Surprise-0009,validation
llama-Surprise-0010,train
llama-Surprise-0011,validation
llama-Surprise-0012,train
llama-Surprise-0013,validation
llama-Surprise-0015,train
llama-Surprise-0016,test
llama-Surprise-0017,train
llama-Surprise-0018,train
llama-Surprise-0019,train
llama-Surprise-0020,validation
llama-Surprise-0021,train
llama-Surprise-0022,test
llama-Surprise-0023,validation
llama-Surprise-0024,train
llama-Surprise-0026,train
llama-Surprise-0027,train
llama-Surprise-0028,train
llama-Surprise-0029,validation
llama-Surprise-0030,train
llama-Surprise-0031,validation
llama-Surprise-0032,train
llama-Surprise-0033,train
llama-Surprise-0034,test
llama-Surprise-0035,train
llama-Surprise-0036,train
llama-Surprise-0037,train
llama-Surprise-0038,train
llama-Surprise-0039,train
llama-Surprise-0040,test
llama-Surprise-0041,train
llama-Surprise-0042,train
llama-Surprise-0043,validation
llama-Surprise-0044,validation
llama-Surprise-0045,validation
llama-Surprise-0046,test
llama-Surprise-0047,validation
llama-Surprise-0048,train
llama-Surprise-0049,test
llama-Surprise-0051,train
llama-Surprise-0052,test
llama-Surprise-0054,train
llama-Surprise-0056,train
llama-Surprise-0057,train
llama-Surprise-0059,train
llama-Surprise-0060,train
llama-Surprise-0061,train
llama-Surprise-0062,train
llama-Surprise-0063,train
llama-Surprise-0065,train
llama-Surprise-0066,train
llama-Surprise-0067,train
llama-Surprise-0069,train
llama-Surprise-0070,test
llama-Surprise-0071,train
llama-Surprise-0072,test
llama-Surprise-0073,train
llama-Surprise-0074,train
llama-Surprise-0075,train
llama-Surprise-0076,validation
llama-Surprise-0077,train
llama-Surprise-0078,train
llama-Surprise-0079,test
llama-Surprise-0080,validation
llama-Surprise-0081,train
llama-Surprise-0083,train
llama-Surprise-0084,train
llama-Surprise-0085,train
llama-Surprise-0086,train
llama-Surprise-0088,test
llama-Surprise-0089,train
llama-Surprise-0090,validation
llama-Surprise-0091,train
llama-Surprise-0092,test
llama-Surprise-0094,train
llama-Surprise-0095,train
llama-Surprise-0096,train
llama-Surprise-0100,test
llama-Surprise-0101,train
llama-Surprise-0103,train
llama-Surprise-0104,test
llama-Surprise-0107,train
llama-Surprise-0109,validation
llama-Surprise-0110,train
llama-Surprise-0111,train
llama-Surprise-0112,train
llama-Surprise-0114,validation
llama-Surprise-0115,test
llama-Surprise-0116,train
llama-Surprise-0117,train
llama-Surprise-0118,train
llama-Surprise-0119,train
llama-Surprise-0121,validation
llama-Surprise-0123,test
llama-Surprise-0124,train
llama-Surprise-0126,train
llama-Surprise-0127,train
llama-Surprise-0128,train
llama-Surprise-0129,test
llama-Surprise-0130,train
llama-Surprise-0131,train
llama-Surprise-0132,train
llama-Surprise-0133,train
llama-Surprise-0135,train
llama-Surprise-0136,test
llama-Surprise-0137,train
llama-Surprise-0138,train
llama-Surprise-0139,train
llama-Surprise-0140,train
llama-Surprise-0141,train
llama-Surprise-0142,train
llama-Surprise-0143,validation
llama-Surprise-0144,validation
llama-Surprise-0145,train
llama-Surprise-0147,train
llama-Surprise-0148,train
llama-Surprise-0149,test
llama-Surprise-0150,train
llama-Surprise-0151,test
llama-Surprise-0153,train
llama-Surprise-0154,validation
llama-Surprise-0155,train
llama-Surprise-0156,train
llama-Surprise-0157,validation
llama-Surprise-0158,validation
llama-Surprise-0159,train
llama-Surprise-0160,test
llama-Surprise-0161,train
llama-Surprise-0162,train
llama-Surprise-0163,train
llama-Surprise-0164,validation
llama-Surprise-0165,train
llama-Surprise-0166,train
llama-Surprise-0167,train
llama-Surprise-0168,train
llama-Surprise-0169,train
llama-Surprise-0170,test
llama-Surprise-0171,train
llama-Surprise-0172,test
llama-Surprise-0173,train
llama-Surprise-0174,train
llama-Surprise-0178,train
llama-Surprise-0179,train
llama-Surprise-0180,train
llama-Surprise-0181,train
llama-Surprise-0182,train
llama-Surprise-0183,train
llama-Surprise-0184,train
llama-Surprise-0185,train
llama-Surprise-0186,validation
llama-Surprise-0187,train
llama-Surprise-0188,train
llama-Surprise-0189,train
llama-Surprise-0190,validation
llama-Surprise-0191,train
llama-Surprise-0192,train
llama-Surprise-0193,train
llama-Surprise-0194,train
llama-Surprise-0196,train
llama-Surprise-0197,train
llama-Surprise-0198,train
llama-Surprise-0199,train
llama-Other-0000,validation
llama-Other-0001,test
llama-Other-0002,train
llama-Other-0003,test
llama-Other-0004,train
llama-Other-0005,train
llama-Other-0006,validation
llama-Other-0007,train
llama-Other-0008,train
llama-Other-0009,train
llama-Other-0010,validation
llama-Other-0011,test
llama-Other-0012,train
llama-Other-0013,train
llama-Other-0014,train
llama-Other-0015,train
llama-Other-0017,train
llama-Other-0018,train
llama-Other-0019,train
llama-Other-0020,train
llama-Other-0022,train
llama-Other-0023,test
llama-Other-0024,train
llama-Other-0025,train
llama-Other-0026,train
llama-Other-0027,test
llama-Other-0028,train
llama-Other-0029,train
llama-Other-0030,validation
llama-Other-0031,validation
llama-Other-0032,train
llama-Other-0033,train
llama-Other-0034,train
llama-Other-0035,validation
llama-Other-0036,validation
llama-Other-0037,train
llama-Other-0038,train
llama-Other-0039,train
llama-Other-0040,train
llama-Other-0042,train
llama-Other-0043,train
llama-Other-0044,train
llama-Other-0045,test
llama-Other-0046,train
llama-Other-0047,train
llama-Other-0048,test
llama-Other-0049,train
llama-Other-0050,validation
llama-Other-0051,validation
llama-Other-0052,train
llama-Other-0053,train
llama-Other-0054,train
llama-Other-0055,train
llama-Other-0056,validation
llama-Other-0057,train
llama-Other-0058,train
llama-Other-0059,test
llama-Other-0060,train
llama-Other-0061,validation
llama-Other-0062,train
llama-Other-0064,train
llama-Other-0065,train
llama-Other-0066,train
llama-Other-0067,train
llama-Other-0068,train
llama-Other-0069,test
llama-Other-0070,train
llama-Other-0071,train
llama-Other-0072,validation
llama-Other-0073,train
llama-Other-0074,train
llama-Other-0075,validation
llama-Other-0076,train
llama-Other-0077,train
llama-Other-0078,train
llama-Other-0079,validation
llama-Other-0080,train
llama-Other-0081,train
llama-Other-0082,train
llama-Other-0083,train
llama-Other-0084,train
llama-Other-0086,train
llama-Other-0087,train
llama-Other-0088,train
llama-Other-0089,train
llama-Other-0090,test
llama-Other-0091,train
llama-Other-0092,train
llama-Other-0093,train
llama-Other-0094,train
llama-Other-0095,train
llama-Other-0096,validation
llama-Other-0097,train
llama-Other-0098,train
llama-Other-0099,train
llama-Other-0101,train
llama-Other-0102,validation
llama-Other-0103,test
llama-Other-0104,train
llama-Other-0105,train
llama-Other-0106,train
llama-Other-0107,validation
llama-Other-0108,train
llama-Other-0109,validation
llama-Other-0110,train
llama-Other-0111,test
llama-Other-0112,train
llama-Other-0113,train
llama-Other-0114,train
llama-Other-0115,train
llama-Other-0116,train
llama-Other-0117,train
llama-Other-0118,train
llama-Other-0119,train
llama-Other-0120,validation
llama-Other-0122,validation
llama-Other-0123,train
llama-Other-0124,test
llama-Other-0125,train
llama-Other-0126,train
llama-Other-0127,test
llama-Other-0128,train
llama-Other-0129,test
llama-Other-0130,train
llama-Other-0131,test
llama-Other-0132,train
llama-Other-0133,train
llama-Other-0134,train
llama-Other-0135,train
llama-Other-0136,test
llama-Other-0137,test
llama-Other-0138,train
llama-Other-0139,train
llama-Other-0140,train
llama-Other-0141,validation
llama-Other-0142,validation
llama-Other-0143,train
llama-Other-0144,train
llama-Other-0145,train
llama-Other-0146,validation
llama-Other-0147,train
llama-Other-0149,train
llama-Other-0150,train
llama-Other-0151,test
llama-Other-0152,train
llama-Other-0153,train
llama-Other-0155,train
llama-Other-0156,validation
llama-Other-0157,test
llama-Other-0158,test
llama-Other-0159,train
llama-Other-0160,train
llama-Other-0161,train
llama-Other-0162,train
llama-Other-0163,train
llama-Other-0164,train
llama-Other-0165,validation
llama-Other-0166,train
llama-Other-0167,train
llama-Other-0168,validation
llama-Other-0169,train
llama-Other-0170,train
llama-Other-0171,train
llama-Other-0172,test
llama-Other-0173,test
llama-Other-0174,train
llama-Other-0175,train
llama-Other-0176,validation
llama-Other-0177,test
