id,text,label,label_source,model,model_id,template_id,van_phong,do_dai,ngu_canh
llama-Enjoyment-0010,"Hôm nay là một ngày tuyệt vời. Tôi vừa được chứng kiến một khoảnh khắc đặc biệt trong cuộc sống của mình. Tôi đã nhận được tin mừng từ bạn gái, nói rằng cô ấy sẽ đến thăm tôi vào cuối tuần tới. Tôi không thể chờ đợi để ôm lấy cô ấy và chia sẻ những khoảnh khắc đẹp cùng nhau. Mọi thứ đều trở nên sáng sủa hơn khi tôi biết rằng cô ấy sẽ đến. Tôi đã dành cả ngày hôm qua để suy nghĩ về cách thể hiện lòng yêu thương của mình đối với cô ấy, và giờ đây tôi cảm thấy thật an tâm. Tôi đã thực hiện một số công việc gia đình mà tôi đã bỏ qua trong thời gian gần đây, và giờ tôi có thể nghỉ ngơi và thư giãn trước khi bắt đầu một tuần mới với một tâm trạng tích cực. Tôi hy vọng rằng cuộc gặp gỡ sắp tới sẽ mang lại cho chúng tôi nhiều kỷ niệm đẹp và giúp chúng ta gắn kết hơn nữa.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"nghiêm túc, trầm tư","dài (7-10 câu, khoảng 110-180 chữ)",chuyện tình cảm
llama-Enjoyment-0011,"Tôi vừa nhận được thông báo từ ngân hàng về việc tôi đã hoàn thành việc trả nợ trước hạn! Tôi đã cố gắng cắt giảm chi tiêu và tăng thu nhập trong tháng qua, và cuối cùng cũng đạt được mục tiêu này. Đến bây giờ tôi có thể yên tâm hơn khi nhìn vào tài khoản của mình.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","ngắn (2-3 câu, khoảng 30-60 chữ)","tài chính, chi tiêu"
llama-Enjoyment-0012,"Tôi vẫn còn nhớ cách đây vài ngày, khi nhiệt độ bắt đầu tăng cao và mùa hè đã thực sự đến. Mình đã có một sáng hôm nào đó thức dậy để đi mua những bông hoa dại đang nở rộ trong công viên gần nhà. Khi bước vào công viên, mình thấy không khí thật đặc biệt. Những bông hoa dại màu đỏ và vàng đang vươn lên, cùng với những lá cây xanh tươi tạo thành một bức tranh tuyệt đẹp. Mình đã không thể cưỡng lại được sự cuốn hút của thiên nhiên và đã dừng chân lại để ngắm nhìn khung cảnh này. Sự kết hợp giữa ánh nắng và những màu sắc của hoa đã khiến mình cảm thấy thật sự hài lòng và bình yên.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","vừa (4-6 câu, khoảng 60-110 chữ)","thời tiết, mùa trong năm"
llama-Enjoyment-0013,"Hôm nay là ngày cuối cùng của tháng 6, và tôi đã hoàn thành mục tiêu tiết kiệm được 500.000 đồng mà tôi đặt ra cho mình vào đầu tháng. Tôi phải thừa nhận rằng đây là một kỳ vọng hơi cao đối với mình, nhưng tôi đã cố gắng kiên trì và quản lý thu nhập của mình một cách hiệu quả.

Tôi nhớ lại khi tôi bắt đầu tháng bằng việc tạo lập một kế hoạch chi tiêu chi tiết, phân bổ thu nhập của mình theo các mục tiêu cụ thể, từ tiền ăn uống đến tiền thuê nhà. Tôi cũng đã cắt giảm những chi phí không cần thiết, như việc hạn chế đi xem phim hoặc chơi game. Kết quả là, tôi đã có thể dành dụm được nhiều tiền hơn so với dự kiến ban đầu.

Tôi thực sự tự hào về bản thân vì đã có thể đạt được mục tiêu này. Điều này không chỉ giúp tôi tiết kiệm được một khoản tiền lớn mà còn giúp tôi trở nên kỷ luật và quyết đoán hơn trong việc quản lý tài chính của mình. Tôi hy vọng rằng sau này, tôi sẽ tiếp tục duy trì được thói quen này và áp dụng nó vào các lĩnh vực khác của cuộc sống.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","dài (7-10 câu, khoảng 110-180 chữ)","tài chính, chi tiêu"
llama-Enjoyment-0014,"Hôm nay là một ngày tuyệt vời. Bố đã nấu được món bún riêu mà mẹ yêu thích. Khi vừa trở về nhà từ công ty, tôi đã thấy mùi thơm đặc trưng của món ăn này đang phả ra từ nồi. Tôi đã giúp bố chuẩn bị gia vị và nước mắm cho món ăn. Khi hoàn thành, cả nhà chúng tôi đã cùng nhau ngồi xuống và thưởng thức bữa tối ấm áp.

Tôi nhớ khi còn nhỏ, tôi luôn cảm thấy vui khi được ăn bún riêu do bố nấu. Nhưng hôm nay, tôi nhận ra rằng bố đã nấu món ăn này không chỉ ngon mà còn đẹp mắt nữa. Mỗi lần nhìn vào tô bún riêu của mình, tôi không thể giúp mà phải nhâm nhi từng miếng và cảm nhận hương vị đậm đà.

Khi thấy bố hài lòng với bữa tối đã nấu, tôi cũng không thể không cảm thấy tự hào vì đã góp phần giúp đỡ anh trai tôi trong việc nấu ăn. Sau bữa tối, chúng tôi đã cùng nhau trò chuyện về những kỷ niệm cũ và cười nói thoải mái. Hôm nay thật là một ngày ấm áp và đáng nhớ với gia đình tôi.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","dài (7-10 câu, khoảng 110-180 chữ)",gia đình
llama-Enjoyment-0015,"Hôm nay là một ngày tuyệt vời khi tôi nhận được thông báo rằng doanh số thu nhập của tôi đã vượt quá dự kiến trong tháng qua. Tôi cảm thấy rất tự hào về khả năng quản lý tài chính của bản thân, đặc biệt là khi tôi đã tiết kiệm được một khoản tiền lớn để đầu tư vào tương lai. Điều này không chỉ giúp tôi an tâm về tài chính mà còn mang lại cho tôi động lực để tiếp tục nỗ lực trong công việc.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","ngắn (2-3 câu, khoảng 30-60 chữ)","tài chính, chi tiêu"
llama-Enjoyment-0016,"Hôm nay là ngày cuối cùng trước khi tôi nhận được lương tháng, nhưng tôi không có cảm giác lo lắng hay áp lực như mọi năm. Có lẽ đó là vì tôi đã dành một thời gian dài để quản lý tài chính của mình một cách nghiêm túc. Tôi đã lập một kế hoạch chi tiêu hợp lý, dựa trên thu nhập và chi phí dự kiến, để đảm bảo rằng tôi có thể trang trải tất cả các khoản phải chi trả và còn dư ra một chút tiền cho những việc thú vị.

Tôi đã đưa ra quyết định khó khăn về việc cắt giảm chi tiêu không cần thiết, như bỏ rơi thói quen uống cà phê hàng ngày và chuyển sang uống trà tại nhà. Việc này đã giúp tôi tiết kiệm được khoảng 50.000 đồng mỗi ngày, một số tiền không nhỏ trong suốt tháng. Ngoài ra, tôi cũng đã cố gắng tìm kiếm những lựa chọn mua sắm hợp lý hơn, thay vì chọn những sản phẩm đắt tiền chỉ vì họ có thương hiệu nổi tiếng.

Tất cả những nỗ lực này đã mang lại kết quả tuyệt vời, khi tôi nhận thấy rằng mình đã tích lũy được một khoản tiền mặt khá lớn sau hai tuần đầu của tháng. Tôi hy vọng rằng đây sẽ là một tháng thật đặc biệt, khi tôi có thể tận hưởng những điều tốt đẹp mà cuộc sống mang lại.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"người lớn, điềm tĩnh, câu văn đầy đủ","dài (7-10 câu, khoảng 110-180 chữ)","tài chính, chi tiêu"
llama-Enjoyment-0017,"Tôi vừa nhận được tin mừng từ ngân hàng về việc đã thanh toán được khoản nợ cũ của tôi sau nhiều tháng chờ đợi. Tôi cảm thấy thật nhẹ nhõm khi không còn phải lo lắng về việc phải chi trả tiền lãi mỗi tháng nữa. Tôi thậm chí còn bật cười khi nhớ lại những lúc tôi phải đi làm thêm để kiếm tiền trang trải nợ nần. Bây giờ, tôi có thể tận hưởng cuộc sống mà không phải lo lắng về vấn đề tài chính nữa. Tôi đang nằm trên ghế sofa, tận hưởng niềm vui và tự nhủ rằng mình sẽ không bao giờ quên những trải nghiệm khó khăn này.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","vừa (4-6 câu, khoảng 60-110 chữ)",chuyện nhỏ trong ngày
llama-Enjoyment-0018,"Hôm nay là ngày thi cuối cùng của năm học, và tôi đã chuẩn bị kỹ lưỡng cho nó. Tôi thức dậy sớm, đi dạo quanh khu phố để làm ấm cơ thể, rồi bắt đầu vào phòng thi một giờ trước khi thi đấu. Tôi lấy tờ điểm kiểm tra ra, nhìn thấy số điểm tuyệt đối mà mình đạt được trong kì trước, và không thể giúp mình mà không bật lên tiếng cười thở phào. Tôi đã dành cả năm học để chinh phục những môn học này, và cảm giác tự tin lúc này thật tuyệt vời. Tôi bước vào phòng thi, gặp gỡ những người bạn thân thiết của mình, và chúng ta cùng nhau nhủ nhau sẽ làm tốt nhất có thể. Khi tôi đưa đề thi ra, tôi nhìn thấy một câu hỏi khiến tôi phải mỉm côi vì dễ dàng và rõ ràng đến mức có thể đoán trước được. Tôi biết rằng mình đã sẵn sàng cho cuộc chiến này.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","dài (7-10 câu, khoảng 110-180 chữ)","học tập, thi cử"
llama-Enjoyment-0019,"Ngày hôm nay thật tuyệt vời, tôi vừa nhận được thông tin được công nhận kết quả tốt nghiệp học vị Thạc sĩ tại trường Đại học kinh tế. Tất cả những nỗ lực và thời gian tôi dành để hoàn thành luận văn đều đáng giá khi đã đạt được mục tiêu này. Tôi rất tự hào vì đã có thể vượt qua khó khăn trong quá trình nghiên cứu và hoàn thiện luận văn. Việc này không chỉ giúp tôi tự tin hơn mà còn là bước đệm quan trọng để tôi tiếp tục phát triển sự nghiệp.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","vừa (4-6 câu, khoảng 60-110 chữ)","công việc, thực tập"
llama-Enjoyment-0020,"Tôi vừa được công nhận là người dùng tích cực của nhóm Facebook mà tôi tham gia từ trước đến nay. Tôi nhận được tin nhắn thông báo về việc này từ ban quản trị nhóm và họ cũng đã tặng tôi một biểu tượng đặc biệt cho danh hiệu này. Tôi thật sự rất hài lòng khi biết điều này xảy ra vì nó thể hiện rằng những đóng góp của tôi trong nhóm luôn được ghi nhận và đánh giá cao. Tôi nhớ lúc đầu mới tham gia nhóm, tôi luôn cố gắng làm quen với mọi người và tạo ra những nội dung thú vị để chia sẻ. Qua thời gian, tôi đã trở thành một phần quan trọng của cộng đồng và thấy được tác động tích cực của mình trong việc khuyến khích và hỗ trợ các thành viên khác. Bây giờ, tôi cảm thấy tự hào khi được công nhận và đánh giá cao bởi ban quản trị. Tôi sẽ tiếp tục cố gắng để giữ gìn và phát triển tinh thần tích cực của nhóm.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"thân mật, xưng hô suồng sã như nói chuyện với bạn thân","dài (7-10 câu, khoảng 110-180 chữ)",mạng xã hội
llama-Enjoyment-0021,"Hôm nay tôi được giao nhiệm vụ thực hiện dự án mới tại công ty, và tôi thật sự rất tự hào vì mình đã được chọn làm trưởng nhóm. Tôi nhớ khi mới vào làm, tôi luôn nghĩ rằng mình không đủ năng lực để đảm nhận vai trò như vậy, nhưng bây giờ tôi thấy mình đã có thể làm được. Đôi khi tôi tự hỏi mình làm thế nào có thể thay đổi như vậy, nhưng có lẽ chỉ có thể nói là kinh nghiệm và thời gian giúp tôi trở nên tự tin hơn.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","ngắn (2-3 câu, khoảng 30-60 chữ)","công việc, thực tập"
llama-Enjoyment-0022,"Hôm nay thật tuyệt vời, tôi đã đạt được mục tiêu cuối tuần của mình - hoàn thành dự án công nghệ mà mình đã đợi chờ từ một tuần qua. Khi nhận được thông báo từ đồng nghiệp về việc phê duyệt dự án, tôi không khỏi cảm thấy một niềm vui thật lớn lao. Sau nhiều ngày làm việc chăm chỉ, cùng với sự hỗ trợ của cả team, chúng tôi đã vượt qua các khó khăn và tạo ra một sản phẩm thật đáng tự hào. Tôi thật hài lòng khi nhìn lại những gì mình đã thực hiện được trong suốt thời gian qua. Tất cả những nỗ lực và cố gắng đều không thể không được ghi nhận.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","vừa (4-6 câu, khoảng 60-110 chữ)",mạng xã hội
llama-Enjoyment-0023,"Tôi vẫn nhớ ngày hôm qua khi tôi quyết định đi chạy bộ vào buổi sáng sớm. Đó là một trải nghiệm tuyệt vời, cảm giác ánh nắng mặt trời chiếu rọi lên khuôn mặt và gió nhẹ thổi qua mái tóc thực sự làm tôi cảm thấy sảng khoái.

Tôi đã tập trung vào việc chạy bộ trong gần một tuần nay và cuối cùng tôi cũng đã thấy được tiến bộ. Tôi có thể chạy được khoảng 5km mà không cảm thấy quá mệt mỏi. Điều này khiến tôi rất tự tin và hứng khởi.

Sau buổi chạy bộ, tôi quyết định thưởng cho mình một tách cà phê nóng và một chiếc bánh ngọt. Đó là một cách tuyệt vời để bắt đầu ngày mới. Tôi cảm thấy mình thật may mắn vì có thể tận hưởng những điều nhỏ bé nhưng thật ý nghĩa như thế này.

Tôi luôn cố gắng duy trì lối sống lành mạnh và tích cực. Việc chạy bộ không chỉ giúp tôi cải thiện sức khỏe mà còn mang lại cho tôi cảm giác tự do và thoải mái. Đó là một điều tuyệt vời khi có thể tận hưởng cuộc sống một cách trọn vẹn.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"thân mật, xưng hô suồng sã như nói chuyện với bạn thân","dài (7-10 câu, khoảng 110-180 chữ)",sức khỏe
llama-Enjoyment-0024,"Hôm nay thật tuyệt vời! Bố đã về nhà sớm và mời cả nhà đến bàn ăn, chuẩn bị bữa cơm thịnh soạn. Mẹ đã nấu mì xào rau, bánh mì nướng và hoa quả tươi. Chúng tôi cả nhà cùng nhau ăn uống và trò chuyện. Dường như mọi người đều vui vẻ, chỉ có em bé nhỏ của tôi quấy rối mẹ, khiến bà ấy mệt mỏi. Tôi đã giúp mẹ dọn dẹp bàn ăn sau bữa cơm và cảm thấy rất hài lòng khi thấy gia đình của mình hạnh phúc. Tất cả mọi thứ đều ổn trong nhà chúng tôi hôm nay.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","vừa (4-6 câu, khoảng 60-110 chữ)",gia đình
llama-Enjoyment-0025,"Tôi vừa hoàn thành một dự án thực tập tại công ty và tôi không thể tin được bản thân mình. Mọi thứ đã trở nên dễ dàng và trôi chảy hơn khi tôi hiểu rõ hơn về yêu cầu của khách hàng và áp dụng được kiến thức đã học vào thực tế. Tôi đã dành nhiều thời gian để nghiên cứu và chuẩn bị trước khi bắt đầu công việc, điều đó giúp tôi tránh được những sai sót và đảm bảo chất lượng của sản phẩm cuối cùng.

Tôi phải thừa nhận rằng tôi đã gặp phải một số khó khăn ban đầu khi làm quen với môi trường làm việc mới, nhưng sau khi thảo luận với đồng nghiệp và tham khảo ý kiến của giám đốc, tôi đã tìm được hướng giải quyết phù hợp. Kết quả là sản phẩm của chúng tôi đã được khách hàng đánh giá cao và chúng tôi đã nhận được phản hồi tích cực từ họ.

Tôi cảm thấy rất tự hào về bản thân vì đã có thể hoàn thành công việc một cách xuất sắc và đạt được mục tiêu đề ra. Việc thực tập tại công ty này cũng giúp tôi phát triển kỹ năng làm việc nhóm và giao tiếp hiệu quả hơn. Tôi hy vọng sẽ được cơ hội tiếp tục làm việc tại đây trong tương lai gần.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"trang trọng, chỉn chu như viết thư","dài (7-10 câu, khoảng 110-180 chữ)","công việc, thực tập"
llama-Enjoyment-0027,"Tôi vừa nhận được tin tức tuyệt vời! Tôi đã vượt qua được kỳ thi cuối năm với điểm số tuyệt đối, không một lỗi nào. Tôi vẫn còn chưa tin vào tai mình khi nghe cô giáo đọc ra điểm của tôi. Tôi đã dành cả tuần để ôn luyện và chuẩn bị cho bài thi này. Khi nghe tin này, tôi không thể không bật cười vì sự may mắn của mình. Tôi cảm thấy thật tự hào về bản thân vì đã có thể đạt được mục tiêu này. Một lần nữa, tôi phải nói rằng tôi đã làm rất tốt.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"hài hước, tự trào","vừa (4-6 câu, khoảng 60-110 chữ)","học tập, thi cử"
llama-Enjoyment-0028,"Hôm nay em rất vui vì cuối cùng cũng có thể thanh toán hết nợ học phí cho năm trước. Em đã làm thêm công việc bán thời gian vào dịp Tết Nguyên Đán vừa rồi và nhận được một khoản tiền khá nhiều. Em quyết định dùng số tiền đó để trả nợ cho trường và hôm nay là ngày em nộp được tất cả các hóa đơn. Thật tuyệt khi biết rằng mình không còn nợ học phí nữa. Em cảm thấy nhẹ nhõm và an tâm hơn khi biết rằng mình không còn lo lắng về việc này. Em cũng tự hào vì đã cố gắng kiếm được tiền để trang trải chi phí học tập của mình. Từ bây giờ, em sẽ tập trung vào việc học và hoàn thành tốt các bài tập của mình. Em tin rằng mình có thể làm được điều này nếu cứ kiên trì và quyết tâm.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","dài (7-10 câu, khoảng 110-180 chữ)","tài chính, chi tiêu"
llama-Enjoyment-0029,"Hôm nay thật tuyệt vời, anh Tú đã tổ chức party để mừng sinh nhật của em Thanh. Tôi đã giúp anh chuẩn bị mọi thứ từ sáng sớm và cuối cùng chúng ta cũng có thể mời được hầu hết bạn bè vào tham gia. Khi thấy mọi thứ đều sẵn sàng, tôi đã không thể kìm được niềm vui khi nhìn thấy mọi người cười đùa, nhảy múa cùng nhau. Em Thanh cũng rất hạnh phúc khi nhìn thấy sự thân thiết và ủng hộ của bạn bè dành cho cô ấy.",Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","ngắn (2-3 câu, khoảng 30-60 chữ)",tình bạn
llama-Enjoyment-0030,Tôi vừa nhận được tin tức tuyệt vời! Tôi đã được chọn làm trưởng nhóm cho dự án quan trọng tại trường. Tôi thật sự hài lòng với quyết định này vì nó sẽ giúp tôi phát triển kỹ năng lãnh đạo và quản lý dự án. Tôi biết mình sẽ có thể hoàn thành tốt nhiệm vụ này vì tôi đã chuẩn bị sẵn sàng và luôn sẵn lòng học hỏi.,Enjoyment,generated,llama,meta-llama/Llama-3.1-8B-Instruct,diary_v5,"tuổi teen, ngôn ngữ đời thường, nhiều từ viết tắt","ngắn (2-3 câu, khoảng 30-60 chữ)","công việc, thực tập"
